"Data Source","World Development Indicators",

"Last Updated Date","2017-04-27",

"Country Name","Country Code","Indicator Name","Indicator Code","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016",
"Aruba","ABW","Military expenditure (% of GDP)","MS.MIL.XPND.GD.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Afghanistan","AFG","Military expenditure (% of GDP)","MS.MIL.XPND.GD.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2.36978613572853","1.95042957139392","1.86129988322751","2.23706942196111","2.32800275800812","2.06075131768437","1.89747275108326","1.77859261784739","1.1447151131951","1.06143348132958","1.33435667773489","1.01255579897999","",
"Angola","AGO","Military expenditure (% of GDP)","MS.MIL.XPND.GD.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","21.9805","19.4323333333333","17.4636666666667","7.1025","7.67923076923077","17.5472118959108","5.70959367945824","4.70739276826233","2.44784815671705","5.97225116095868","2.64200770687947","17.334692213616","6.39260315427404","4.52435381521459","3.51023506834408","4.72213379180699","4.16241473796093","4.83484197372832","4.71484492819948","3.36223184907008","3.75821463787197","4.38612881814425","4.24488429189766","3.49561936904927","3.59335773707098","4.87603161832403","5.40021316799854","3.51593857254428","",
"Albania","ALB","Military expenditure (% of GDP)","MS.MIL.XPND.GD.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","5.61500470366886","5.16567638330751","5.88830082474813","5.79127052776037","4.44845197534468","3.19929790202817","2.50038576220844","2.09971303703802","1.37902873137544","1.28308157356327","1.23824307676577","1.24920882100311","1.24635933859902","1.30929225051135","1.32003499118436","1.33684453735893","1.38115868415271","1.35000545455818","1.56776946295716","1.82076528014737","1.98486885667765","1.51721713952654","1.55859189306875","1.52826633775804","1.48708257653319","1.40845822632974","1.34737024351043","1.16113478483298","",
"Andorra","AND","Military expenditure (% of GDP)","MS.MIL.XPND.GD.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Arab World","ARB","Military expenditure (% of GDP)","MS.MIL.XPND.GD.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","8.05472553818752","7.80426370918102","","11.479097644464","8.72510668726941","7.93732632608013","7.34924333934594","6.65772391774603","6.08319105991352","6.26556952959409","7.17297511801995","6.194881570661","6.08618549362042","6.51872757649233","5.99876563520826","5.56582949047713","5.16317480083617","4.71959897709728","4.4630558701708","4.57969766810786","4.19808545626241","5.3726393527839","5.12287918612686","5.08626352465506","5.2775047419352","5.85102044090686","6.43947023060626","8.19976038428304","",
"United Arab Emirates","ARE","Military expenditure (% of GDP)","MS.MIL.XPND.GD.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","4.23125030233088","5.29948113445167","5.01280124852479","5.63157166754963","5.61210504675656","4.87552690304984","4.69231072434317","4.61147388489275","3.65647745569231","3.226126784392","3.28052136989454","3.66802298461867","5.4571072353951","6.11946782162985","5.50367901547077","5.09439424133513","6.06308614223812","5.6610560557543","","",
"Argentina","ARG","Military expenditure (% of GDP)","MS.MIL.XPND.GD.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2.12493922313663","1.88037142585904","1.45091554117098","1.50692651364508","1.42253282338073","1.42280306119888","1.45703853325047","1.47307453443229","1.2412284045824","1.14013911131295","1.13631707160019","1.22035954754993","1.14882368723143","1.1842346437015","1.09188047859748","1.06089364594404","0.88329535883353","0.847154783885961","0.788233877461469","0.792548175031362","0.762756475390461","0.886508576686385","0.814878105497939","0.764287094036749","0.784824721019786","0.837736430159436","0.878100919364039","0.86066750325618","",
"Armenia","ARM","Military expenditure (% of GDP)","MS.MIL.XPND.GD.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2.09548975296484","2.12165247900191","","4.05931197996886","3.28186689273156","3.90940345225657","3.52809604879608","3.69737538591187","3.56002487253697","3.12724938530975","2.69771474886414","2.72837221377968","2.74199670493715","2.87193136291811","2.94761315625864","3.04257470127966","3.39557936270657","4.15704990783508","4.26564605593771","3.85394644115574","3.58376691873744","3.99724455730484","3.94337826474581","4.24895108174756","",
"American Samoa","ASM","Military expenditure (% of GDP)","MS.MIL.XPND.GD.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Antigua and Barbuda","ATG","Military expenditure (% of GDP)","MS.MIL.XPND.GD.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Australia","AUS","Military expenditure (% of GDP)","MS.MIL.XPND.GD.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2.30524249793238","2.1661700091356","2.12541389704172","2.17361956534841","2.21574881717176","2.23045354620153","2.18659923062911","2.08685632645484","1.98162431941924","1.92140114594132","1.92193028798377","1.94173896359975","1.89881464082043","1.93095497723409","1.94142991393545","1.91152962333899","1.89364782480986","1.88024240478388","1.89567473389378","1.89032280628126","1.8858329916354","1.93176734402948","1.95180895699173","1.82898932114244","1.69813674427214","1.6869120162059","1.80511782947889","1.95065215378813","",
