country_name,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014
Aruba,73.56360975609759,73.5894390243902,73.6148048780488,73.6422926829268,73.6753902439025,73.72060975609759,73.78290243902441,73.865243902439,73.9685609756098,74.0908536585366,74.2280731707317,74.3761951219512,74.52675609756099,74.6757317073171,74.8181463414634,74.95353658536591,75.0813902439024,75.205756097561,75.32865853658541,75.45109756097558
Afghanistan,53.1393902439024,53.60204878048779,54.0178292682927,54.4027317073171,54.76726829268289,55.1258780487805,55.487536585365895,55.8571951219512,56.2352926829268,56.6263170731707,57.027243902439004,57.432560975609796,57.8338292682927,58.2250243902439,58.6036829268293,58.970829268292704,59.32795121951221,59.679609756097605,60.028268292682895,60.3744634146342
Angola,42.05146341463411,42.5016341463415,43.0621219512195,43.714268292682895,44.43899999999999,45.204780487804896,45.97314634146339,46.71173170731711,47.39317073170729,48.003512195122006,48.5388048780488,49.00704878048779,49.4357317073171,49.847390243902396,50.2510243902439,50.654170731707296,51.0593170731707,51.464,51.8661707317073,52.2668780487805
Albania,72.2360243902439,72.5274146341463,72.89809756097559,73.3265853658537,73.79339024390251,74.27153658536591,74.7325609756098,75.1546097560976,75.5232926829268,75.83121951219509,76.08160975609759,76.2861219512195,76.4702926829268,76.65207317073171,76.8403658536586,77.0369512195122,77.2405853658537,77.4439756097561,77.6404634146342,77.8304634146342
Andorra,,,,,,,,,,,,,,,,,,,,
United Arab Emirates,73.1150731707317,73.38392682926829,73.6526585365854,73.92021951219509,74.1871707317073,74.4515365853659,74.7128780487805,74.96826829268291,75.21721951219509,75.45726829268291,75.68639024390251,75.9045365853659,76.11117073170729,76.307756097561,76.4947804878049,76.67524390243901,76.85119512195119,77.0241463414634,77.19563414634149,77.3681707317073
Argentina,72.6651219512195,72.88734146341459,73.10804878048779,73.3276829268293,73.5442682926829,73.7558048780488,73.9603170731707,74.1557804878049,74.34126829268291,74.5187804878049,74.6878048780488,74.8499024390244,75.00904878048779,75.1662682926829,75.3245609756098,75.48497560975609,75.64904878048779,75.816243902439,75.9860975609756,76.15860975609759
Armenia,68.76356097560979,69.2168536585366,69.71641463414639,70.2402195121951,70.76709756097559,71.2765853658537,71.7558292682927,72.2016097560976,72.6095853658537,72.973756097561,73.28739024390241,73.5482682926829,73.7646585365854,73.945,74.0958292682927,74.2263414634146,74.3428292682927,74.45209756097559,74.5613658536585,74.6757073170732
Antigua and Barbuda,72.3176829268293,72.5388536585366,72.75756097560979,72.9737804878049,73.1860243902439,73.3972926829268,73.60709756097559,73.8154390243902,74.0217804878049,74.2261463414634,74.4254390243903,74.6181463414634,74.80321951219508,74.9791707317073,75.1470243902439,75.30878048780491,75.4660243902439,75.6218048780488,75.77865853658541,75.9376341463415
Australia,77.82926829268291,78.07804878048779,78.4804878048781,78.63170731707321,78.9317073170732,79.2341463414634,79.6341463414634,79.9365853658537,80.2390243902439,80.490243902439,80.84146341463409,81.0414634146342,81.2926829268293,81.39512195121951,81.54390243902441,81.6951219512195,81.89512195121951,82.04634146341459,82.14878048780491,82.3
Austria,76.6682926829268,76.87073170731709,77.319512195122,77.67073170731709,77.87560975609759,78.12682926829271,78.57560975609759,78.6780487804878,78.63170731707321,79.1804878048781,79.3317073170732,79.88048780487809,80.1804878048781,80.4317073170732,80.3317073170732,80.58048780487809,80.9829268292683,80.9365853658537,81.1365853658537,81.490243902439
Azerbaijan,64.57582926829271,64.994,65.46239024390239,65.92336585365851,66.3554878048781,66.758243902439,67.1502926829268,67.5610731707317,68.0036829268293,68.47019512195119,68.9372682926829,69.37524390243901,69.756512195122,70.0639512195122,70.2936829268293,70.4513170731707,70.5518048780488,70.62395121951221,70.6905853658537,70.76321951219509
Burundi,48.8007804878049,49.462609756097606,50.119853658536606,50.692048780487795,51.149243902439004,51.485487804878105,51.7248292682927,51.928268292682894,52.1453170731707,52.396390243902395,52.69695121951221,53.0538780487805,53.456073170731706,53.8910243902439,54.3512195121951,54.8291951219512,55.312024390243906,55.7892926829268,56.2516097560976,56.6920243902439
Belgium,76.84073170731709,77.1873170731707,77.37073170731709,77.4731707317073,77.619512195122,77.7219512195122,77.9731707317073,78.07560975609759,78.12926829268291,78.87804878048779,78.9804878048781,79.380487804878,79.78292682926829,79.6804878048781,79.9829268292683,80.1829268292683,80.5853658536585,80.3853658536585,80.5878048780488,81.2878048780488
Benin,54.81595121951221,54.8318048780488,54.8423170731707,54.89014634146339,54.9987804878049,55.188243902439005,55.4664878048781,55.8143170731707,56.20807317073171,56.633170731707295,57.065975609756094,57.4833902439024,57.8673902439024,58.20451219512201,58.491268292682896,58.7297073170732,58.9329024390244,59.1219756097561,59.312024390243906,59.5105853658537
Burkina Faso,49.3383658536585,49.443512195122004,49.5883414634146,49.77692682926829,50.0207073170732,50.34592682926829,50.7832195121951,51.3401951219512,52.008073170731706,52.7677804878049,53.5813170731707,54.4039024390244,55.1888048780488,55.9022926829268,56.5249756097561,57.0513902439024,57.49204878048779,57.879317073170704,58.2406341463415,58.588463414634106
Bangladesh,61.887390243902395,62.6295609756098,63.3578780487805,64.05914634146339,64.7238292682927,65.34797560975609,65.93017073170729,66.4781707317073,67.00014634146339,67.4971951219512,67.9718536585366,68.4256341463415,68.85997560975609,69.2778536585366,69.6837804878049,70.0802926829268,70.4719512195122,70.8602682926829,71.245243902439,71.62590243902442
Bulgaria,71.0534146341464,70.8973170731707,70.3512195121951,71.0609756097561,71.4121951219512,71.66341463414629,71.7682926829268,71.8658536585366,72.0658536585366,72.5634146341463,72.5609756097561,72.6121951219512,72.66341463414629,72.9634146341463,73.4121951219512,73.5121951219512,74.16341463414629,74.31463414634149,74.8609756097561,74.4658536585366
Bahrain,73.5550731707317,73.7750975609756,73.99160975609759,74.20309756097559,74.4060731707317,74.5994878048781,74.7818292682927,74.9540731707317,75.1177073170732,75.2732195121951,75.4221463414634,75.5664634146342,75.707756097561,75.84751219512201,75.98778048780491,76.1275609756098,76.2678536585366,76.4076341463415,76.5459512195122,76.68326829268291
"Bahamas, The",71.2625609756098,71.3904390243902,71.5498780487805,71.74787804878049,71.9843658536585,72.2542926829268,72.54509756097559,72.84126829268291,73.1272926829268,73.39465853658541,73.6388780487805,73.8584634146342,74.0594634146342,74.2474390243902,74.42390243902442,74.5923902439024,74.7544146341464,74.9144634146342,75.0735365853659,75.23365853658541
Bosnia and Herzegovina,71.56609756097559,72.2088048780488,72.85873170731709,73.4372926829268,73.90963414634149,74.26073170731709,74.5009268292683,74.6755853658537,74.8243658536585,74.9594878048781,75.09353658536591,75.2314390243902,75.37148780487809,75.51197560975609,75.6573658536585,75.8076829268293,75.9629268292683,76.12017073170729,76.27692682926829,76.433243902439
Belarus,68.4609756097561,68.5121951219512,68.4609756097561,68.4073170731707,67.9073170731707,68.9121951219512,68.5073170731707,68.0560975609756,68.5536585365854,68.95609756097559,68.8512195121951,69.4048780487805,70.2073170731707,70.45609756097559,70.4073170731707,70.4048780487805,70.5536585365854,71.9658536585366,72.4707317073171,72.9707317073171
Belize,69.5887804878049,69.2198048780488,68.90185365853661,68.6539024390244,68.489512195122,68.4188780487805,68.4441219512195,68.5443658536585,68.6971219512195,68.8848292682927,69.0863658536585,69.279487804878,69.452,69.5942195121951,69.70307317073171,69.7820487804878,69.8436829268293,69.9051463414634,69.9820487804878,70.0774390243902
Bolivia,57.8632926829268,58.4249512195122,58.9886097560976,59.5542682926829,60.1214146341463,60.69004878048779,61.2591951219512,61.8288292682927,62.3989756097561,62.96863414634149,63.5397804878049,64.1149512195122,64.6941219512195,65.27380487804881,65.848,66.40775609756099,66.9425609756098,67.4454634146341,67.9134390243903,68.344
Brazil,67.6031951219512,68.10973170731711,68.6163902439024,69.1130975609756,69.59129268292679,70.0419756097561,70.45960975609759,70.84524390243901,71.2018780487805,71.532,71.8396341463415,72.1317317073171,72.4148292682927,72.6954146341463,72.9780243902439,73.2641463414634,73.55234146341459,73.8395853658537,74.1224390243903,74.4018780487805
Barbados,72.28439024390251,72.4888048780488,72.68421951219509,72.87065853658541,73.0485853658537,73.21951219512201,73.38392682926829,73.5463170731707,73.7071707317073,73.8680243902439,74.03034146341459,74.1931219512195,74.3564146341464,74.5191951219512,74.6824878048781,74.8452926829268,75.0081463414634,75.1710243902439,75.3339512195122,75.4964146341463
Brunei Darussalam,74.22295121951221,74.4443170731708,74.66217073170729,74.87553658536591,75.0854146341464,75.28880487804881,75.483243902439,75.6676829268293,75.84617073170729,76.0241219512195,76.21346341463409,76.4281219512195,76.6755609756098,76.956756097561,77.2682926829268,77.5982682926829,77.9323170731708,78.2525853658537,78.54665853658541,78.8095853658537
Bhutan,56.3997317073171,57.205756097561,58.035243902439,58.8886829268293,59.7620731707317,60.6503902439025,61.546634146341496,62.4358292682927,63.303000000000004,64.1361707317073,64.9184390243903,65.6379024390244,66.2930975609756,66.8850243902439,67.4166585365854,67.8924146341463,68.3231951219512,68.7229024390244,69.1029268292683,69.471243902439
Botswana,56.2361219512195,54.3361219512195,52.4746097560976,50.812341463414604,49.4864878048781,48.693634146341495,48.6103170731707,49.2434146341464,50.52451219512201,52.3563170731707,54.5522195121951,56.873268292682894,59.0745609756098,60.9585853658537,62.4170975609756,63.4022926829268,63.951609756097604,64.22273170731711,64.3608048780488,64.429243902439
Central African Republic,46.84624390243901,46.345487804878104,45.846365853658504,45.370292682926795,44.9431463414634,44.5972926829268,44.362073170731705,44.253414634146395,44.277804878048805,44.4396829268293,44.738097560975596,45.1631219512195,45.6873902439024,46.284,46.9349756097561,47.6253170731707,48.3504390243903,49.105292682926795,49.8798780487805,50.6577804878049
Canada,77.9775609756098,78.2304878048781,78.4804878048781,78.6624390243902,78.8829268292683,79.2365853658537,79.4878048780488,79.590243902439,79.8390243902439,80.14146341463409,80.2926829268293,80.2926829268293,80.54390243902441,80.6951219512195,80.9463414634146,81.1975609756098,81.44878048780491,81.5624390243903,81.76504878048779,81.95660975609759
Switzerland,78.41707317073171,78.89609756097559,79.079512195122,79.3243902439025,79.58048780487799,79.6804878048781,80.1804878048781,80.3853658536585,80.5365853658537,81.0878048780488,81.2365853658537,81.490243902439,81.7414634146342,81.9926829268293,82.04390243902441,82.24634146341471,82.6951219512195,82.6975609756098,82.7975609756098,83.1975609756098
Chile,74.8303902439024,75.24160975609759,75.6463658536586,76.0446585365854,76.4359756097561,76.8208292682927,77.1987073170732,77.5695853658537,77.9329756097561,78.2893902439025,78.6382926829268,78.9791707317073,79.31353658536591,79.64090243902442,79.9608048780488,80.2758048780488,80.5869756097561,80.89485365853659,81.1979268292683,81.4961951219512
China,69.9264146341464,70.1998292682927,70.5226829268293,70.8904634146341,71.2971219512195,71.7304634146342,72.17578048780491,72.6148780487805,73.0331219512195,73.4199512195122,73.76695121951221,74.0717073170732,74.34043902439029,74.5832682926829,74.8032682926829,75.0074146341463,75.2021707317073,75.39292682926829,75.5851463414634,75.7822682926829
Cote d'Ivoire,49.5606585365854,48.790243902439,48.0750487804878,47.463512195122,46.9925609756098,46.6993902439024,46.6076097560976,46.6955853658537,46.9329756097561,47.2965365853659,47.751853658536604,48.258756097561,48.778829268292704,49.2797804878049,49.7404878048781,50.1514634146342,50.5172195121951,50.8633414634146,51.2084634146342,51.5595853658537
Cameroon,53.2186097560976,52.990536585365895,52.726097560975596,52.446731707317106,52.17385365853661,51.935878048780495,51.7571951219512,51.6552682926829,51.6390487804878,51.716487804878,51.8890487804878,52.150243902439,52.47914634146339,52.8558292682927,53.26485365853661,53.6948292682927,54.1373658536585,54.587512195122,55.0418048780488,55.492756097561
"Congo, Dem. Rep.",49.06592682926829,48.996951219512205,49.0244634146342,49.192439024390296,49.5174146341463,50.002878048780495,50.629341463414605,51.3468048780488,52.1067804878049,52.879268292682895,53.638292682926796,54.3678292682927,55.0644146341463,55.724,56.337073170731706,56.89614634146339,57.39863414634149,57.85407317073171,58.271926829268295,58.6591951219512
"Congo, Rep.",52.18885365853661,51.659829268292704,51.2021951219512,50.8473658536585,50.6282682926829,50.5898780487805,50.7731951219512,51.1792926829268,51.7942195121951,52.598,53.56153658536589,54.6478292682927,55.8013170731707,56.965073170731706,58.09363414634149,59.1431219512195,60.085170731707294,60.9239024390244,61.6663902439024,62.31114634146339
Colombia,69.4269268292683,69.7483658536585,70.075,70.39495121951221,70.7005609756098,70.9887073170732,71.2603902439024,71.5217317073171,71.77690243902441,72.0249512195122,72.2639268292683,72.4914390243902,72.705512195122,72.9071707317073,73.0969512195122,73.2778536585366,73.4548048780488,73.63078048780491,73.8097317073171,73.9931463414634
Comoros,58.697170731707295,58.947170731707295,59.1355853658537,59.27092682926829,59.3656829268293,59.4389024390244,59.5101463414634,59.598926829268294,59.7208048780488,59.888756097561,60.1097804878049,60.3883170731707,60.7123414634146,61.0672926829268,61.444195121951196,61.830512195122004,62.212756097561,62.5829756097561,62.932170731707295,63.256853658536606
Cabo Verde,67.6786585365854,68.1231463414634,68.5555609756098,68.96641463414639,69.3546829268293,69.72439024390239,70.0860243902439,70.4481463414634,70.8132682926829,71.1763902439025,71.5235365853658,71.8356829268293,72.09936585365851,72.3095365853659,72.47121951219509,72.59790243902441,72.7095609756098,72.82821951219509,72.9723658536585,73.14699999999999
Costa Rica,76.5586097560976,76.7418048780488,76.92241463414629,77.0969268292683,77.2643658536585,77.4226829268293,77.5708780487805,77.7094634146341,77.8404634146341,77.9653658536586,78.0866585365854,78.2078048780488,78.3303170731707,78.4577317073171,78.59260975609759,78.73604878048779,78.8901707317073,79.0535365853659,79.2252195121951,79.40270731707321
Cuba,75.40899999999999,75.6756341463415,75.9419756097561,76.19307317073171,76.4258780487805,76.6448048780488,76.8652195121951,77.10246341463409,77.3639512195122,77.6446829268293,77.93214634146341,78.2059512195122,78.44919512195119,78.6505121951219,78.8109756097561,78.9356341463415,79.039512195122,79.1416097560976,79.2563902439025,79.3908292682927
Curacao,,,,,,,,,,,,74.709756097561,75.36341463414641,75.30975609756099,76.1560975609756,,77.4731707317073,,,77.8243902439025
Cyprus,77.2746585365854,77.41909756097559,77.5610243902439,77.7009268292683,77.8378048780488,77.9716829268293,78.1005609756098,78.2239512195122,78.3458536585366,78.465756097561,78.58960975609759,78.7228780487805,78.86851219512201,79.02753658536591,79.19948780487799,79.3819512195122,79.571512195122,79.7622682926829,79.94978048780492,80.1315609756098
