country_name,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014
Canada,,,,,,,,,,,,,,,,,,,,
Switzerland,,,,,,,,,,,,,,,,,,,,
Chile,156890000.0,195700000.0,129380000.0,106450000.0,70020000.0,48970000.0,59020000.0,-6690000.0,80480000.0,54400000.0,170410000.0,99240000.0,108680000.0,106440000.0,79190000.0,188530000.0,167420000.0,128080000.0,80560000.0,245580000.0
China,3481070000.0,2655900000.0,2060830000.0,2456880000.0,2407000000.0,1749020000.0,1497660000.0,1511520000.0,1361550000.0,1710580000.0,1799290000.0,1272250000.0,1457530000.0,1462310000.0,1153980000.0,671890000.0,-602940000.0,-180530000.0,-656250000.0,-946830000.0
Cote d'Ivoire,1212440000.0,964770000.0,447000000.0,967270000.0,447780000.0,350920000.0,186080000.0,1067500000.0,253700000.0,160710000.0,91280000.0,247140000.0,171080000.0,625670000.0,2401680000.0,843960000.0,1436300000.0,2885200000.0,1273460000.0,925130000.0
Cameroon,443990000.0,411380000.0,500060000.0,498690000.0,434480000.0,377160000.0,458090000.0,605740000.0,885630000.0,780740000.0,416540000.0,1716240000.0,1929490000.0,551790000.0,643790000.0,540230000.0,612080000.0,597170000.0,751960000.0,856170000.0
"Congo, Dem. Rep.",194750000.0,166160000.0,157880000.0,127020000.0,135510000.0,178440000.0,246640000.0,1176170000.0,5417030000.0,1919150000.0,1881800000.0,2197240000.0,1350840000.0,1767600000.0,2357760000.0,3483980000.0,5526470000.0,2846170000.0,2584010000.0,2400120000.0
"Congo, Rep.",126860000.0,431290000.0,268670000.0,64990000.0,140540000.0,32150000.0,73890000.0,57130000.0,69280000.0,115810000.0,1425550000.0,258300000.0,114860000.0,485000000.0,281690000.0,1314470000.0,261330000.0,139690000.0,150990000.0,106210000.0
Colombia,170130000.0,188060000.0,194170000.0,167160000.0,302080000.0,186650000.0,383880000.0,442460000.0,803190000.0,519410000.0,625020000.0,989800000.0,726840000.0,976420000.0,1054980000.0,673820000.0,1017690000.0,764250000.0,857490000.0,1224220000.0
Comoros,41600000.0,39200000.0,30200000.0,40620000.0,22090000.0,19310000.0,27670000.0,27580000.0,24610000.0,25880000.0,23140000.0,32000000.0,45050000.0,42040000.0,50790000.0,68330000.0,52210000.0,98810000.0,81230000.0,74950000.0
Cabo Verde,115730000.0,116460000.0,111010000.0,129770000.0,136970000.0,94650000.0,78060000.0,92500000.0,145330000.0,143780000.0,162870000.0,139110000.0,166050000.0,221880000.0,196770000.0,326980000.0,251370000.0,245640000.0,245160000.0,231390000.0
Costa Rica,32090000.0,-10410000.0,-7070000.0,18840000.0,-8390000.0,13200000.0,3140000.0,3150000.0,29200000.0,14870000.0,26220000.0,22120000.0,55160000.0,69420000.0,106130000.0,95080000.0,31290000.0,28460000.0,32820000.0,54550000.0
Cuba,63630000.0,57220000.0,65400000.0,80150000.0,59390000.0,45070000.0,54650000.0,62110000.0,76540000.0,99470000.0,90140000.0,82210000.0,96550000.0,125510000.0,112560000.0,132450000.0,87280000.0,85760000.0,99460000.0,261970000.0
Curacao,,,,,,,,,,,,,,,,,,,,
Cyprus,21430000.0,22580000.0,42220000.0,34530000.0,53310000.0,54400000.0,49700000.0,34250000.0,14390000.0,59860000.0,,,,,,,,,,
Czech Republic,147380000.0,128530000.0,115140000.0,447830000.0,317990000.0,437370000.0,313780000.0,159770000.0,263270000.0,278660000.0,,,,,,,,,,
Germany,,,,,,,,,,,,,,,,,,,,
